ID,Notaatio,Luokan nimi suomeksi,Luokan nimi ruotsiksi,Luokan nimi englanniksi,Kuvaus suomeksi,Kuvaus ruotsiksi,Kuvaus englanniksi
v3001,KE1,Lapsen saaminen,Att få barn,Having a child,,,
v3002,KE1.1,Adoptio,Adoption,Adoption,,,
v3003,KE10,Eläkkeelle siirtyminen,Att gå i pension,Retirement,,,
v3004,KE11,Vakava sairastuminen,När man blir allvarligt sjuk,Falling seriously ill,,,
v3005,KE12,Kuntoutus,Rehabilitering,Rehabilition,,,
v3006,KE13,Omaishoitajana toimiminen,Att arbeta som anhörigvårdare,Giving informal care,,,
v3007,KE14,Omaisen kuolema,När en anhörig avlider,Death of a close family member,,,
v3008,KE2,Asevelvollisuus,Värnplikt,Conscription,,,
v3009,KE3,Kokoaikaisen opiskelun aloittaminen,Inledande av heltidsstudier,Beginning full-time studies,,,
v3010,KE4,Muuttaminen,Flyttning,Moving,,,
v3011,KE4.1,Kotoa muuttaminen,Att flytta hemifrån,Moving from childhood home,,,
v3012,KE4.2,Suomen sisällä muuttaminen,Att flytta inom Finland,Moving to new home within Finland,,,
v3013,KE4.3,Suomesta muuttaminen,Flyttning till Finland,Moving abroad,,,
v3014,KE4.4,Paluumuutto Suomeen,Återflyttning till Finland,Moving back to Finland,,,
v3015,KE5,Maahanmuuttajana Suomeen,Till Finland som invandrare,Immigrating to Finland,,,
v3016,KE6,Talon rakentaminen,Att bygga ett hus,Building a home,,,
v3017,KE7,Avioero,Skilsmässa,Divorce,,,
v3018,KE8,Työttömäksi jääminen,Att bli arbetslös,Losing a job,,,
v3019,KE9,Velkaantuminen,Skuldsättning,Burdened by debt,,,
